TreeDepth,Index,Address,Module,Symbol
0,177,0x81a5e642,ntoskrnl,NtMapViewOfSection
0,178,0x81af0a37,ntoskrnl,NtModifyBootEntry
0,179,0x81af1cdb,ntoskrnl,NtModifyDriverEntry
0,180,0x819eb27a,ntoskrnl,NtNotifyChangeDirectoryFile
0,181,0x819fb154,ntoskrnl,NtNotifyChangeKey
0,182,0x819fa422,ntoskrnl,NtNotifyChangeMultipleKeys
0,183,0x81a6e4bb,ntoskrnl,NtOpenDirectoryObject
0,184,0x81a1ffe3,ntoskrnl,NtOpenEvent
0,185,0x81af601f,ntoskrnl,NtOpenEventPair
0,186,0x81a4a513,ntoskrnl,NtOpenFile
0,187,0x81aaa143,ntoskrnl,NtOpenIoCompletion
0,188,0x81ad11bb,ntoskrnl,NtOpenJobObject
0,189,0x81a4f051,ntoskrnl,NtOpenKey
0,190,0x819b67a4,ntoskrnl,NtOpenKeyTransacted
0,191,0x81a67188,ntoskrnl,NtOpenMutant
0,192,0x819e11db,ntoskrnl,NtOpenPrivateNamespace
0,193,0x819d46fb,ntoskrnl,NtOpenObjectAuditAlarm
0,194,0x81a4ba1c,ntoskrnl,NtOpenProcess
0,195,0x81a471a5,ntoskrnl,NtOpenProcessToken
0,196,0x81a42937,ntoskrnl,NtOpenProcessTokenEx
0,197,0x81a626e6,ntoskrnl,NtOpenSection
0,198,0x819e5803,ntoskrnl,NtOpenSemaphore
0,199,0x819d7153,ntoskrnl,NtOpenSession
0,200,0x81a19838,ntoskrnl,NtOpenSymbolicLinkObject
0,201,0x81a3c0e0,ntoskrnl,NtOpenThread
0,202,0x81a4797b,ntoskrnl,NtOpenThreadToken
0,203,0x81a4533b,ntoskrnl,NtOpenThreadTokenEx
0,204,0x81af5c7b,ntoskrnl,NtOpenTimer
0,205,0x819eca56,ntoskrnl,NtPlugPlayControl
0,206,0x81a6a0ab,ntoskrnl,NtPowerInformation
0,207,0x81a277e3,ntoskrnl,NtPrivilegeCheck
0,208,0x819cf6f5,ntoskrnl,NtPrivilegeObjectAuditAlarm
0,209,0x819eaa84,ntoskrnl,NtPrivilegedServiceAuditAlarm
0,210,0x81a707cf,ntoskrnl,NtProtectVirtualMemory
0,211,0x81a8ea85,ntoskrnl,NtPulseEvent
0,212,0x81a46504,ntoskrnl,NtQueryAttributesFile
0,213,0x81af0f19,ntoskrnl,NtQueryBootEntryOrder
0,214,0x81af1377,ntoskrnl,NtQueryBootOptions
0,215,0x818f7e59,ntoskrnl,NtQueryDebugFilterState
0,216,0x81a02bd9,ntoskrnl,NtQueryDefaultLocale
0,217,0x819bf9dc,ntoskrnl,NtQueryDefaultUILanguage
0,218,0x81a4aca6,ntoskrnl,NtQueryDirectoryFile
0,219,0x81a643bc,ntoskrnl,NtQueryDirectoryObject
0,220,0x81af188b,ntoskrnl,NtQueryDriverEntryOrder
0,221,0x81997b4e,ntoskrnl,NtQueryEaFile
0,222,0x819eda42,ntoskrnl,NtQueryEvent
0,223,0x81a0bb39,ntoskrnl,NtQueryFullAttributesFile
0,224,0x819ee5a2,ntoskrnl,NtQueryInformationAtom
0,225,0x81a4560a,ntoskrnl,NtQueryInformationFile
0,226,0x819abd97,ntoskrnl,NtQueryInformationJobObject
0,227,0x81abc131,ntoskrnl,NtQueryInformationPort
0,228,0x81a848b2,ntoskrnl,NtQueryInformationProcess
0,229,0x81a56256,ntoskrnl,NtQueryInformationThread
0,230,0x81a42a62,ntoskrnl,NtQueryInformationToken
0,231,0x819c76d9,ntoskrnl,NtQueryInstallUILanguage
0,232,0x81af6a6b,ntoskrnl,NtQueryIntervalProfile
0,233,0x81aaa21a,ntoskrnl,NtQueryIoCompletion
0,234,0x81a41eca,ntoskrnl,NtQueryKey
0,235,0x81a904c9,ntoskrnl,NtQueryMultipleValueKey
0,236,0x81af636e,ntoskrnl,NtQueryMutant
0,237,0x81a0fc70,ntoskrnl,NtQueryObject
0,238,0x81a90725,ntoskrnl,NtQueryOpenSubKeys
0,239,0x81a8824a,ntoskrnl,NtQueryOpenSubKeysEx
0,240,0x81a860fb,ntoskrnl,NtQueryPerformanceCounter
0,241,0x81aab4fa,ntoskrnl,NtQueryQuotaInformationFile
0,242,0x81a70997,ntoskrnl,NtQuerySection
0,243,0x81a0da47,ntoskrnl,NtQuerySecurityObject
0,244,0x81aef86c,ntoskrnl,NtQuerySemaphore
0,245,0x81a0261d,ntoskrnl,NtQuerySymbolicLinkObject
0,246,0x81aefa63,ntoskrnl,NtQuerySystemEnvironmentValue
0,247,0x81af006f,ntoskrnl,NtQuerySystemEnvironmentValueEx
0,248,0x81a70bc0,ntoskrnl,NtQuerySystemInformation
0,249,0x81a4c8bf,ntoskrnl,NtQuerySystemTime
0,250,0x81af5d4e,ntoskrnl,NtQueryTimer
0,251,0x819eaed3,ntoskrnl,NtQueryTimerResolution
0,252,0x81a3fa5b,ntoskrnl,NtQueryValueKey
0,253,0x81a466a1,ntoskrnl,NtQueryVirtualMemory
0,254,0x81a63894,ntoskrnl,NtQueryVolumeInformationFile
0,255,0x819edf54,ntoskrnl,NtQueueApcThread
0,256,0x81895540,ntoskrnl,NtRaiseException
0,257,0x819b9554,ntoskrnl,NtRaiseHardError
0,258,0x81a45e34,ntoskrnl,NtReadFile
0,259,0x819c7d06,ntoskrnl,NtReadFileScatter
0,260,0x81abc1f1,ntoskrnl,NtReadRequestData
0,261,0x81a14d5d,ntoskrnl,NtReadVirtualMemory
0,262,0x81acee8a,ntoskrnl,NtRegisterThreadTerminatePort
0,263,0x81a8452e,ntoskrnl,NtReleaseMutant
0,264,0x81a30ecc,ntoskrnl,NtReleaseSemaphore
0,265,0x81a86cfe,ntoskrnl,NtRemoveIoCompletion
0,266,0x81aa15b3,ntoskrnl,NtRemoveProcessDebug
0,267,0x81a909ce,ntoskrnl,NtRenameKey
0,268,0x81a9039e,ntoskrnl,NtReplaceKey
0,269,0x8190593f,ntoskrnl,NtReplacePartitionUnit
0,270,0x81a30dcc,ntoskrnl,NtReplyPort
0,271,0x81a561f7,ntoskrnl,NtReplyWaitReceivePort
0,272,0x81a560a6,ntoskrnl,NtReplyWaitReceivePortEx
0,273,0x81abc3c7,ntoskrnl,NtReplyWaitReplyPort
0,274,0x81aa5698,ntoskrnl,NtCancelDeviceWakeupRequest
0,274,0x81aa5698,ntoskrnl,NtRequestDeviceWakeup
0,274,0x81aa5698,ntoskrnl,xHalLoadMicrocode
0,275,0x81a3c115,ntoskrnl,NtRequestPort
0,276,0x81a66f59,ntoskrnl,NtRequestWaitReplyPort
0,277,0x81acae1f,ntoskrnl,NtRequestWakeupLatency
0,278,0x819f486f,ntoskrnl,NtResetEvent
0,279,0x8190ba55,ntoskrnl,NtResetWriteWatch
0,280,0x81a8f352,ntoskrnl,NtRestoreKey
0,281,0x81acf6f1,ntoskrnl,NtResumeProcess
0,282,0x81a3b48a,ntoskrnl,NtResumeThread
0,283,0x81a8f473,ntoskrnl,NtSaveKey
0,284,0x81a8f57a,ntoskrnl,NtSaveKeyEx
0,285,0x81a8f6c7,ntoskrnl,NtSaveMergedKeys
0,286,0x81a06108,ntoskrnl,NtSecureConnectPort
0,287,0x81af1168,ntoskrnl,NtSetBootEntryOrder
0,288,0x81af166c,ntoskrnl,NtSetBootOptions
0,289,0x81acea9f,ntoskrnl,NtSetContextThread
0,290,0x81978489,ntoskrnl,NtSetDebugFilterState
0,291,0x81994f05,ntoskrnl,NtSetDefaultHardErrorPort
0,292,0x819cec47,ntoskrnl,NtSetDefaultLocale
0,293,0x819ceff8,ntoskrnl,NtSetDefaultUILanguage
0,294,0x81af211b,ntoskrnl,NtSetDriverEntryOrder
0,295,0x81aaaf46,ntoskrnl,NtSetEaFile
0,296,0x81a84451,ntoskrnl,NtSetEvent
0,297,0x81aef4c9,ntoskrnl,NtSetEventBoostPriority
0,298,0x81af62ff,ntoskrnl,NtSetHighEventPair
0,299,0x81af6231,ntoskrnl,NtSetHighWaitLowEventPair
0,300,0x81aa1cf6,ntoskrnl,NtSetInformationDebugObject
0,301,0x81a2e71b,ntoskrnl,NtSetInformationFile
0,302,0x819e496d,ntoskrnl,NtSetInformationJobObject
0,303,0x81a8ff3d,ntoskrnl,NtSetInformationKey
0,304,0x81a2990f,ntoskrnl,NtSetInformationObject
0,305,0x81a6e575,ntoskrnl,NtSetInformationProcess
0,306,0x81a3ca1a,ntoskrnl,NtSetInformationThread
0,307,0x81a157f4,ntoskrnl,NtSetInformationToken
0,308,0x81af6a48,ntoskrnl,NtSetIntervalProfile
0,309,0x81a4869b,ntoskrnl,NtSetIoCompletion
0,310,0x81ad0e71,ntoskrnl,NtSetLdtEntries
0,311,0x81af629c,ntoskrnl,NtSetLowEventPair
0,312,0x81af61c6,ntoskrnl,NtSetLowWaitHighEventPair
0,313,0x81aabb4c,ntoskrnl,NtSetQuotaInformationFile
0,314,0x81a13307,ntoskrnl,NtSetSecurityObject
0,315,0x81aefd6d,ntoskrnl,NtSetSystemEnvironmentValue
0,316,0x81af0395,ntoskrnl,NtSetSystemEnvironmentValueEx
0,317,0x81a31276,ntoskrnl,NtSetSystemInformation
0,318,0x81b135e3,ntoskrnl,NtSetSystemPowerState
0,319,0x81aec171,ntoskrnl,NtSetSystemTime
